,OverTime,Attrition,JobRole,JobLevel,StockOptionLevel
0,Yes,Yes,Sales Executive,Associate,No
1,No,No,Research Scientist,Associate,Basic Level of Stock
2,Yes,Yes,Laboratory Technician,Entry,No
3,Yes,No,Research Scientist,Entry,No
4,No,No,Laboratory Technician,Entry,Basic Level of Stock
5,No,No,Laboratory Technician,Entry,No
6,Yes,No,Laboratory Technician,Entry,High Level of Stock
7,No,No,Laboratory Technician,Entry,Basic Level of Stock
8,No,No,Manufacturing Director,Middle-Management,No
9,No,No,Healthcare Representative,Associate,Medium Level of Stock
10,No,No,Laboratory Technician,Entry,Basic Level of Stock
11,Yes,No,Laboratory Technician,Associate,No
12,No,No,Research Scientist,Entry,Basic Level of Stock
13,No,No,Laboratory Technician,Entry,Basic Level of Stock
14,Yes,Yes,Laboratory Technician,Entry,No
15,No,No,Manufacturing Director,Middle-Management,Basic Level of Stock
16,Yes,No,Research Scientist,Entry,Medium Level of Stock
17,Yes,No,Laboratory Technician,Entry,Medium Level of Stock
18,No,No,Manager,Head,No
19,Yes,No,Research Scientist,Entry,No
20,No,No,Manufacturing Director,Associate,Basic Level of Stock
21,No,Yes,Sales Representative,Entry,No
22,No,No,Research Director,Middle-Management,No
23,No,No,Research Scientist,Entry,No
24,No,Yes,Research Scientist,Entry,No
25,No,No,Manager,C-Level,Basic Level of Stock
26,Yes,Yes,Research Scientist,Entry,No
27,No,No,Sales Executive,Associate,Basic Level of Stock
28,No,No,Healthcare Representative,Middle-Management,Basic Level of Stock
29,No,No,Manager,C-Level,No
30,No,No,Laboratory Technician,Entry,No
31,Yes,No,Healthcare Representative,Associate,No
32,No,No,Laboratory Technician,Entry,No
33,No,Yes,Sales Representative,Associate,Basic Level of Stock
34,Yes,Yes,Research Scientist,Entry,Basic Level of Stock
35,No,No,Research Scientist,Entry,Medium Level of Stock
36,Yes,Yes,Sales Representative,Entry,No
37,No,No,Sales Representative,Entry,No
38,Yes,No,Research Scientist,Entry,Basic Level of Stock
39,No,No,Sales Executive,Associate,Medium Level of Stock
40,No,No,Laboratory Technician,Entry,Basic Level of Stock
41,No,No,Laboratory Technician,Entry,Basic Level of Stock
42,No,Yes,Laboratory Technician,Entry,No
43,No,No,Sales Executive,Middle-Management,No
44,No,No,Laboratory Technician,Associate,No
45,No,Yes,Research Director,C-Level,No
46,No,No,Sales Executive,Associate,No
47,No,No,Research Scientist,Entry,No
48,Yes,No,Sales Executive,Associate,No
49,No,No,Laboratory Technician,Entry,No
50,Yes,Yes,Laboratory Technician,Middle-Management,No
51,Yes,Yes,Laboratory Technician,Entry,No
52,Yes,No,Sales Executive,Associate,Basic Level of Stock
53,Yes,No,Healthcare Representative,Middle-Management,Basic Level of Stock
54,Yes,No,Sales Executive,Associate,Basic Level of Stock
55,Yes,No,Research Director,Middle-Management,No
56,No,No,Sales Executive,Middle-Management,Basic Level of Stock
57,Yes,No,Laboratory Technician,Entry,Basic Level of Stock
58,No,No,Laboratory Technician,Associate,Basic Level of Stock
59,No,No,Manufacturing Director,Associate,Basic Level of Stock
60,Yes,No,Manufacturing Director,Associate,Basic Level of Stock
61,No,No,Laboratory Technician,Associate,No
62,Yes,No,Research Director,C-Level,Basic Level of Stock
63,No,No,Sales Executive,Middle-Management,No
64,No,No,Healthcare Representative,Middle-Management,High Level of Stock
65,Yes,No,Manager,Head,High Level of Stock
66,No,No,Manufacturing Director,Associate,No
67,No,No,Research Scientist,Middle-Management,Basic Level of Stock
68,No,No,Research Scientist,Entry,Basic Level of Stock
69,Yes,Yes,Research Scientist,Entry,Basic Level of Stock
70,No,No,Sales Executive,Associate,No
71,No,No,Research Scientist,Entry,Basic Level of Stock
72,No,No,Research Scientist,Entry,No
73,No,No,Research Scientist,Associate,Medium Level of Stock
74,No,No,Laboratory Technician,Entry,No
75,No,No,Manufacturing Director,Associate,No
76,No,No,Sales Executive,Associate,No
77,Yes,No,Research Director,Middle-Management,No
78,No,No,Research Director,Middle-Management,No
79,Yes,No,Human Resources,Associate,Basic Level of Stock
80,Yes,No,Laboratory Technician,Associate,Medium Level of Stock
81,No,No,Research Scientist,Entry,No
82,No,No,Sales Executive,Middle-Management,Basic Level of Stock
83,Yes,No,Research Scientist,Associate,High Level of Stock
84,No,No,Manufacturing Director,Associate,No
85,No,No,Manufacturing Director,Middle-Management,No
86,No,No,Sales Representative,Entry,Basic Level of Stock
87,No,No,Laboratory Technician,Entry,Medium Level of Stock
88,No,No,Healthcare Representative,Associate,High Level of Stock
89,No,Yes,Sales Executive,Middle-Management,No
90,No,No,Healthcare Representative,Head,Basic Level of Stock
91,Yes,No,Sales Executive,Associate,No
92,Yes,No,Sales Executive,Associate,High Level of Stock
93,Yes,No,Healthcare Representative,Middle-Management,Basic Level of Stock
94,No,No,Sales Executive,Associate,No
95,No,No,Research Director,Middle-Management,Basic Level of Stock
96,No,No,Sales Executive,Associate,Basic Level of Stock
97,No,No,Sales Executive,Associate,No
98,No,No,Sales Executive,Head,No
99,No,No,Laboratory Technician,Associate,Basic Level of Stock
100,Yes,Yes,Human Resources,Entry,No
101,No,No,Research Scientist,Entry,No
102,Yes,Yes,Laboratory Technician,Entry,No
103,No,No,Research Scientist,Associate,No
104,No,No,Healthcare Representative,Associate,Basic Level of Stock
105,No,No,Manager,C-Level,Basic Level of Stock
106,Yes,No,Research Director,C-Level,No
107,Yes,Yes,Sales Executive,Associate,No
108,No,No,Research Scientist,Entry,Medium Level of Stock
109,No,No,Laboratory Technician,Entry,No
110,No,No,Healthcare Representative,Middle-Management,No
111,Yes,Yes,Laboratory Technician,Associate,No
112,Yes,No,Manager,Head,No
113,No,No,Laboratory Technician,Entry,Basic Level of Stock
114,No,No,Research Scientist,Associate,Basic Level of Stock
115,No,No,Sales Executive,Middle-Management,No
116,No,No,Manager,Middle-Management,No
117,No,No,Sales Executive,Middle-Management,Basic Level of Stock
118,No,No,Laboratory Technician,Entry,Basic Level of Stock
119,Yes,No,Manager,Head,Medium Level of Stock
120,No,No,Research Scientist,Entry,High Level of Stock
121,No,No,Sales Executive,Associate,Basic Level of Stock
122,Yes,Yes,Research Scientist,Entry,High Level of Stock
123,No,No,Research Director,C-Level,No
124,Yes,Yes,Sales Executive,Associate,No
125,No,No,Research Scientist,Entry,No
126,No,Yes,Healthcare Representative,Middle-Management,Basic Level of Stock
127,Yes,Yes,Sales Representative,Entry,No
128,No,No,Laboratory Technician,Entry,Basic Level of Stock
129,No,No,Manufacturing Director,Associate,No
130,No,No,Research Scientist,Entry,No
131,No,No,Sales Executive,Middle-Management,No
132,Yes,Yes,Sales Executive,Associate,Basic Level of Stock
133,Yes,No,Sales Executive,Middle-Management,Basic Level of Stock
134,No,No,Human Resources,Entry,Basic Level of Stock
135,No,No,Manufacturing Director,Associate,Medium Level of Stock
136,No,Yes,Manufacturing Director,Middle-Management,No
137,No,No,Sales Executive,Associate,Basic Level of Stock
138,No,No,Sales Executive,Associate,No
139,Yes,No,Human Resources,Associate,No
140,No,Yes,Laboratory Technician,Entry,No
141,No,No,Research Scientist,Entry,No
142,Yes,No,Research Scientist,Associate,No
143,No,No,Research Scientist,Entry,No
144,No,No,Sales Executive,Associate,High Level of Stock
145,No,No,Research Scientist,Entry,Basic Level of Stock
146,No,No,Laboratory Technician,Entry,No
147,No,No,Manager,Head,Basic Level of Stock
148,No,No,Laboratory Technician,Entry,Basic Level of Stock
149,No,No,Laboratory Technician,Entry,No
150,No,No,Research Scientist,Associate,Basic Level of Stock
151,No,No,Sales Executive,Middle-Management,Medium Level of Stock
152,Yes,No,Sales Representative,Associate,Basic Level of Stock
153,No,No,Laboratory Technician,Associate,Basic Level of Stock
154,No,No,Sales Executive,Middle-Management,No
155,No,No,Manufacturing Director,Associate,Basic Level of Stock
156,No,No,Manufacturing Director,Associate,No
157,Yes,No,Research Scientist,Entry,Basic Level of Stock
158,No,No,Sales Executive,Middle-Management,Basic Level of Stock
159,No,No,Sales Representative,Entry,Basic Level of Stock
160,No,No,Research Scientist,Entry,Medium Level of Stock
161,No,No,Research Scientist,Entry,Basic Level of Stock
162,No,No,Research Scientist,Entry,Basic Level of Stock
163,Yes,No,Healthcare Representative,Middle-Management,Basic Level of Stock
164,Yes,No,Research Scientist,Entry,Basic Level of Stock
165,No,No,Manager,C-Level,No
166,No,No,Research Scientist,Entry,Basic Level of Stock
167,No,No,Sales Executive,Middle-Management,Basic Level of Stock
168,No,No,Sales Executive,Associate,No
169,No,No,Research Scientist,Entry,No
170,Yes,No,Research Scientist,Entry,Basic Level of Stock
171,No,Yes,Sales Representative,Entry,No
172,No,No,Laboratory Technician,Entry,No
173,No,No,Laboratory Technician,Associate,Medium Level of Stock
174,Yes,No,Sales Executive,Associate,Basic Level of Stock
175,Yes,No,Research Scientist,Entry,Basic Level of Stock
176,No,No,Research Scientist,Entry,No
177,No,Yes,Laboratory Technician,Entry,No
178,No,No,Sales Executive,Middle-Management,High Level of Stock
179,No,No,Laboratory Technician,Entry,No
180,Yes,No,Research Scientist,Entry,Basic Level of Stock
181,No,No,Research Scientist,Entry,No
182,Yes,Yes,Sales Representative,Entry,No
183,No,No,Laboratory Technician,Entry,Basic Level of Stock
184,No,No,Manufacturing Director,Associate,Medium Level of Stock
185,No,No,Research Scientist,Entry,Basic Level of Stock
186,No,No,Manager,C-Level,Basic Level of Stock
187,No,No,Research Director,C-Level,No
188,No,No,Manufacturing Director,Associate,No
189,No,No,Healthcare Representative,Head,No
190,No,No,Manager,C-Level,Basic Level of Stock
191,No,No,Research Scientist,Entry,No
192,Yes,Yes,Manufacturing Director,Associate,No
193,No,No,Research Scientist,Entry,High Level of Stock
194,No,No,Manager,Head,Basic Level of Stock
195,Yes,No,Research Scientist,Entry,Basic Level of Stock
196,No,No,Laboratory Technician,Associate,No
197,No,No,Manufacturing Director,Associate,Basic Level of Stock
198,No,No,Manufacturing Director,Associate,No
199,No,No,Manufacturing Director,Associate,Basic Level of Stock
200,No,No,Manufacturing Director,Associate,Basic Level of Stock
201,Yes,No,Manufacturing Director,Associate,Medium Level of Stock
202,Yes,No,Research Scientist,Entry,Basic Level of Stock
203,Yes,No,Laboratory Technician,Associate,Basic Level of Stock
204,Yes,Yes,Healthcare Representative,Associate,No
205,No,Yes,Sales Executive,Middle-Management,High Level of Stock
206,Yes,No,Research Scientist,Entry,Basic Level of Stock
207,No,No,Laboratory Technician,Entry,No
